33,110,792
512,455,248
375,325,323
415,24,491
567,840,9
704,404,474
403,842,991
665,754,917
483,7,542
963,67,244
496,99,708
651,521,430
518,528,916
804,843,516
738,361,594
361,960,541
453,552,497
786,216,458
751,535,476
257,568,600
466,113,749
47,995,288
32,386,190
935,223,773
803,519,240
649,786,899
756,693,35
793,869,519
665,322,64
98,846,295
671,930,751
28,186,449
300,120,89
791,260,453
350,452,159
934,999,370
895,102,446
485,599,220
754,498,253
507,954,508
157,975,483
530,937,166
216,601,743
570,253,229
418,688,914
806,583,904
19,128,761
363,304,286
439,392,271
807,337,492
445,638,561
650,428,61
525,52,787
409,864,956
691,716,984
298,961,671
809,928,702
175,199,621
901,801,558
467,329,615
747,520,178
887,506,256
382,300,981
7,441,833
810,815,754
483,739,900
406,92,163
755,192,211
533,933,633
89,447,299
510,275,163
208,865,486
216,832,325
125,225,99
935,958,411
811,765,916
663,507,926
352,314,866
710,214,235
106,503,352
247,385,706
858,146,288
701,224,75
41,7,751
112,458,65
425,2,231
663,592,481
939,703,286
592,315,687
484,210,364
352,176,146
28,814,101
637,530,842
2,956,915
517,42,895
417,469,295
209,754,508
777,198,51
279,181,74
617,800,937
355,221,990
545,650,864
794,664,159
594,737,458
700,210,499
354,510,824
756,881,97
286,111,905
11,761,353
430,36,395
778,81,28
436,405,112
534,600,501
565,407,969
762,646,250
257,28,586
880,410,512
792,956,553
280,266,129
949,385,266
180,967,312
156,681,221
421,966,148
430,482,278
957,792,785
413,791,929
669,825,794
493,241,672
387,543,471
108,161,840
812,324,910
138,229,918
255,625,124
313,700,11
484,354,271
405,499,836
782,322,879
727,302,729
100,36,794
258,915,998
129,845,155
356,139,66
823,889,835
527,6,315
480,912,691
551,87,622
245,646,51
718,604,163
388,769,735
639,119,450
541,242,282
216,133,336
569,710,993
94,565,549
87,140,597
522,676,166
523,526,779
472,525,659
719,875,681
37,131,769
961,882,443
5,694,568
265,839,843
315,888,352
788,795,312
246,967,965
220,217,530
416,588,956
667,904,502
225,119,727
613,807,80
597,308,125
492,862,770
264,755,362
827,938,122
738,382,473
366,112,763
411,508,572
798,871,117
119,428,249
561,93,98
923,45,777
847,886,442
530,51,982
84,620,39
315,140,661
885,884,245
28,739,838
457,912,520
825,920,443
234,288,422
289,200,736
41,456,786
972,35,397
459,989,962
422,507,32
129,540,553
653,774,889
988,164,570
434,295,752
447,148,0
188,336,890
342,132,885
351,934,390
612,30,331
948,814,517
725,380,43
907,619,460
287,777,262
533,925,626
290,721,741
989,725,387
179,961,901
666,473,197
821,953,14
277,557,457
701,728,431
228,661,224
421,109,697
145,98,913
692,970,584
43,337,208
540,539,632
501,510,716
456,942,331
784,834,837
860,384,919
308,777,886
596,102,872
511,533,633
112,39,538
591,211,189
677,961,151
636,551,462
808,287,358
418,392,421
666,140,711
334,796,656
148,156,534
970,370,374
169,88,47
753,301,640
736,882,457
899,444,597
606,279,816
417,40,977
660,446,29
427,385,373
879,616,538
566,886,716
389,490,334
180,867,516
656,160,745
943,767,800
875,185,699
505,35,492
598,556,12
449,958,32
925,458,439
711,668,656
796,870,795
449,885,664
86,604,957
295,282,91
51,78,296
510,725,345
434,524,732
889,740,821
610,658,89
635,32,972
41,34,273
993,385,785
829,910,14
449,297,206
709,422,527
353,817,524
782,501,151
685,836,592
711,418,867
540,848,357
663,319,681
656,723,533
540,526,379
908,836,757
534,307,628
754,816,588
806,521,420
122,693,880
93,22,539
119,18,91
435,587,272
167,589,551
800,567,598
69,252,620
267,95,381
310,166,884
586,263,125
460,549,595
278,864,476
350,533,397
503,694,134
348,932,861
877,809,664
688,748,682
856,366,550
326,918,991
683,723,869
315,654,705
670,77,186
381,995,476
808,880,346
7,10,981
239,861,857
316,811,441
573,786,567
454,623,400
258,396,968
619,846,421
323,800,867
941,244,622
396,165,590
272,862,328
418,145,360
793,746,895
910,563,171
877,253,76
371,490,905
241,963,148
843,479,518
725,519,928
323,71,748
609,361,489
516,590,430
372,399,18
314,843,804
170,697,875
225,220,946
170,453,339
480,48,368
334,308,666
512,131,30
675,276,356
96,913,790
593,880,840
621,849,452
